provincia;municipio;sexo;total
03 Alicante/Alacant;03009 Alcoi/Alcoy;Ambos sexos;1.382
03 Alicante/Alacant;03009 Alcoi/Alcoy;Hombres;667
03 Alicante/Alacant;03009 Alcoi/Alcoy;Mujeres;715
03 Alicante/Alacant;03010 Alfafara;Ambos sexos;6
03 Alicante/Alacant;03010 Alfafara;Hombres;2
03 Alicante/Alacant;03010 Alfafara;Mujeres;4
03 Alicante/Alacant;03011 Alfàs del Pi, l';Ambos sexos;318
03 Alicante/Alacant;03011 Alfàs del Pi, l';Hombres;159
03 Alicante/Alacant;03011 Alfàs del Pi, l';Mujeres;159
03 Alicante/Alacant;03012 Algorfa;Ambos sexos;13
03 Alicante/Alacant;03012 Algorfa;Hombres;5
03 Alicante/Alacant;03012 Algorfa;Mujeres;8
03 Alicante/Alacant;03013 Algueña;Ambos sexos;24
03 Alicante/Alacant;03013 Algueña;Hombres;7
03 Alicante/Alacant;03013 Algueña;Mujeres;17
03 Alicante/Alacant;03014 Alacant/Alicante;Ambos sexos;16.876
03 Alicante/Alacant;03014 Alacant/Alicante;Hombres;8.399
03 Alicante/Alacant;03014 Alacant/Alicante;Mujeres;8.477
03 Alicante/Alacant;03015 Almoradí;Ambos sexos;537
03 Alicante/Alacant;03015 Almoradí;Hombres;293
03 Alicante/Alacant;03015 Almoradí;Mujeres;244
03 Alicante/Alacant;03016 Almudaina;Ambos sexos;2
03 Alicante/Alacant;03016 Almudaina;Hombres;1
03 Alicante/Alacant;03016 Almudaina;Mujeres;1
03 Alicante/Alacant;03017 Alqueria d'Asnar, l';Ambos sexos;16
03 Alicante/Alacant;03017 Alqueria d'Asnar, l';Hombres;5
03 Alicante/Alacant;03017 Alqueria d'Asnar, l';Mujeres;11
03 Alicante/Alacant;03018 Altea;Ambos sexos;1.069
03 Alicante/Alacant;03018 Altea;Hombres;499
03 Alicante/Alacant;03018 Altea;Mujeres;570
03 Alicante/Alacant;03019 Aspe;Ambos sexos;317
03 Alicante/Alacant;03019 Aspe;Hombres;161
03 Alicante/Alacant;03019 Aspe;Mujeres;156
03 Alicante/Alacant;03020 Balones;Ambos sexos;1
03 Alicante/Alacant;03020 Balones;Hombres;0
03 Alicante/Alacant;03020 Balones;Mujeres;1
03 Alicante/Alacant;03021 Banyeres de Mariola;Ambos sexos;88
03 Alicante/Alacant;03021 Banyeres de Mariola;Hombres;50
03 Alicante/Alacant;03021 Banyeres de Mariola;Mujeres;38
03 Alicante/Alacant;03022 Benasau;Ambos sexos;40
03 Alicante/Alacant;03022 Benasau;Hombres;20
03 Alicante/Alacant;03022 Benasau;Mujeres;20
03 Alicante/Alacant;03023 Beneixama;Ambos sexos;36
03 Alicante/Alacant;03023 Beneixama;Hombres;20
03 Alicante/Alacant;03023 Beneixama;Mujeres;16
03 Alicante/Alacant;03024 Benejúzar;Ambos sexos;135
03 Alicante/Alacant;03024 Benejúzar;Hombres;69
03 Alicante/Alacant;03024 Benejúzar;Mujeres;66
03 Alicante/Alacant;03025 Benferri;Ambos sexos;116
03 Alicante/Alacant;03025 Benferri;Hombres;65
03 Alicante/Alacant;03025 Benferri;Mujeres;51
03 Alicante/Alacant;03026 Beniarbeig;Ambos sexos;48
03 Alicante/Alacant;03026 Beniarbeig;Hombres;26
03 Alicante/Alacant;03026 Beniarbeig;Mujeres;22
03 Alicante/Alacant;03027 Beniardà;Ambos sexos;20
03 Alicante/Alacant;03027 Beniardà;Hombres;9
03 Alicante/Alacant;03027 Beniardà;Mujeres;11
03 Alicante/Alacant;03028 Beniarrés;Ambos sexos;96
03 Alicante/Alacant;03028 Beniarrés;Hombres;44
03 Alicante/Alacant;03028 Beniarrés;Mujeres;52
03 Alicante/Alacant;03029 Benigembla;Ambos sexos;60
03 Alicante/Alacant;03029 Benigembla;Hombres;29
03 Alicante/Alacant;03029 Benigembla;Mujeres;31
03 Alicante/Alacant;03030 Benidoleig;Ambos sexos;32
03 Alicante/Alacant;03030 Benidoleig;Hombres;9
03 Alicante/Alacant;03030 Benidoleig;Mujeres;23
03 Alicante/Alacant;03031 Benidorm;Ambos sexos;2.176
03 Alicante/Alacant;03031 Benidorm;Hombres;1.098
03 Alicante/Alacant;03031 Benidorm;Mujeres;1.078
03 Alicante/Alacant;03032 Benifallim;Ambos sexos;1
03 Alicante/Alacant;03032 Benifallim;Hombres;1
03 Alicante/Alacant;03032 Benifallim;Mujeres;0
03 Alicante/Alacant;03033 Benifato;Ambos sexos;22
03 Alicante/Alacant;03033 Benifato;Hombres;10
03 Alicante/Alacant;03033 Benifato;Mujeres;12
03 Alicante/Alacant;03034 Benijófar;Ambos sexos;58
03 Alicante/Alacant;03034 Benijófar;Hombres;28
03 Alicante/Alacant;03034 Benijófar;Mujeres;30
03 Alicante/Alacant;03035 Benilloba;Ambos sexos;32
03 Alicante/Alacant;03035 Benilloba;Hombres;15
03 Alicante/Alacant;03035 Benilloba;Mujeres;17
03 Alicante/Alacant;03036 Benillup;Ambos sexos;22
03 Alicante/Alacant;03036 Benillup;Hombres;8
03 Alicante/Alacant;03036 Benillup;Mujeres;14
03 Alicante/Alacant;03037 Benimantell;Ambos sexos;29
03 Alicante/Alacant;03037 Benimantell;Hombres;13
03 Alicante/Alacant;03037 Benimantell;Mujeres;16
03 Alicante/Alacant;03038 Benimarfull;Ambos sexos;37
03 Alicante/Alacant;03038 Benimarfull;Hombres;22
03 Alicante/Alacant;03038 Benimarfull;Mujeres;15
03 Alicante/Alacant;03039 Benimassot;Ambos sexos;14
03 Alicante/Alacant;03039 Benimassot;Hombres;5
03 Alicante/Alacant;03039 Benimassot;Mujeres;9
03 Alicante/Alacant;03040 Benimeli;Ambos sexos;24
03 Alicante/Alacant;03040 Benimeli;Hombres;11
03 Alicante/Alacant;03040 Benimeli;Mujeres;13
03 Alicante/Alacant;03041 Benissa;Ambos sexos;392
03 Alicante/Alacant;03041 Benissa;Hombres;184
03 Alicante/Alacant;03041 Benissa;Mujeres;208
03 Alicante/Alacant;03042 Poble Nou de Benitatxell, el/Benitachell;Ambos sexos;75
03 Alicante/Alacant;03042 Poble Nou de Benitatxell, el/Benitachell;Hombres;34
03 Alicante/Alacant;03042 Poble Nou de Benitatxell, el/Benitachell;Mujeres;41
03 Alicante/Alacant;03043 Biar;Ambos sexos;55
03 Alicante/Alacant;03043 Biar;Hombres;27
03 Alicante/Alacant;03043 Biar;Mujeres;28
03 Alicante/Alacant;03044 Bigastro;Ambos sexos;124
03 Alicante/Alacant;03044 Bigastro;Hombres;69
03 Alicante/Alacant;03044 Bigastro;Mujeres;55
03 Alicante/Alacant;03045 Bolulla;Ambos sexos;25
03 Alicante/Alacant;03045 Bolulla;Hombres;13
03 Alicante/Alacant;03045 Bolulla;Mujeres;12
03 Alicante/Alacant;03046 Busot;Ambos sexos;70
03 Alicante/Alacant;03046 Busot;Hombres;30
03 Alicante/Alacant;03046 Busot;Mujeres;40
03 Alicante/Alacant;03047 Calp;Ambos sexos;563
03 Alicante/Alacant;03047 Calp;Hombres;287
03 Alicante/Alacant;03047 Calp;Mujeres;276
03 Alicante/Alacant;03048 Callosa d'en Sarrià;Ambos sexos;417
03 Alicante/Alacant;03048 Callosa d'en Sarrià;Hombres;183
03 Alicante/Alacant;03048 Callosa d'en Sarrià;Mujeres;234
03 Alicante/Alacant;03049 Callosa de Segura;Ambos sexos;785
03 Alicante/Alacant;03049 Callosa de Segura;Hombres;447
03 Alicante/Alacant;03049 Callosa de Segura;Mujeres;338
03 Alicante/Alacant;03050 Campello, el;Ambos sexos;859
03 Alicante/Alacant;03050 Campello, el;Hombres;430
03 Alicante/Alacant;03050 Campello, el;Mujeres;429
03 Alicante/Alacant;03051 Camp de Mirra, el/Campo de Mirra;Ambos sexos;2
03 Alicante/Alacant;03051 Camp de Mirra, el/Campo de Mirra;Hombres;1
03 Alicante/Alacant;03051 Camp de Mirra, el/Campo de Mirra;Mujeres;1
03 Alicante/Alacant;03052 Cañada;Ambos sexos;12
03 Alicante/Alacant;03052 Cañada;Hombres;6
03 Alicante/Alacant;03052 Cañada;Mujeres;6
03 Alicante/Alacant;03053 Castalla;Ambos sexos;85
03 Alicante/Alacant;03053 Castalla;Hombres;51
03 Alicante/Alacant;03053 Castalla;Mujeres;34
03 Alicante/Alacant;03054 Castell de Castells;Ambos sexos;14
03 Alicante/Alacant;03054 Castell de Castells;Hombres;8
03 Alicante/Alacant;03054 Castell de Castells;Mujeres;6
03 Alicante/Alacant;03055 Catral;Ambos sexos;91
03 Alicante/Alacant;03055 Catral;Hombres;45
03 Alicante/Alacant;03055 Catral;Mujeres;46
03 Alicante/Alacant;03056 Cocentaina;Ambos sexos;235
03 Alicante/Alacant;03056 Cocentaina;Hombres;131
03 Alicante/Alacant;03056 Cocentaina;Mujeres;104
03 Alicante/Alacant;03057 Confrides;Ambos sexos;35
03 Alicante/Alacant;03057 Confrides;Hombres;16
03 Alicante/Alacant;03057 Confrides;Mujeres;19
03 Alicante/Alacant;03058 Cox;Ambos sexos;204
03 Alicante/Alacant;03058 Cox;Hombres;110
03 Alicante/Alacant;03058 Cox;Mujeres;94
03 Alicante/Alacant;03059 Crevillent;Ambos sexos;480
03 Alicante/Alacant;03059 Crevillent;Hombres;245
03 Alicante/Alacant;03059 Crevillent;Mujeres;235
03 Alicante/Alacant;03060 Quatretondeta;Ambos sexos;16
03 Alicante/Alacant;03060 Quatretondeta;Hombres;9
03 Alicante/Alacant;03060 Quatretondeta;Mujeres;7
03 Alicante/Alacant;03061 Daya Nueva;Ambos sexos;15
03 Alicante/Alacant;03061 Daya Nueva;Hombres;11
03 Alicante/Alacant;03061 Daya Nueva;Mujeres;4
03 Alicante/Alacant;03062 Daya Vieja;Ambos sexos;7
03 Alicante/Alacant;03062 Daya Vieja;Hombres;2
03 Alicante/Alacant;03062 Daya Vieja;Mujeres;5
03 Alicante/Alacant;03063 Dénia;Ambos sexos;2.109
03 Alicante/Alacant;03063 Dénia;Hombres;1.098
03 Alicante/Alacant;03063 Dénia;Mujeres;1.011
03 Alicante/Alacant;03064 Dolores;Ambos sexos;172
03 Alicante/Alacant;03064 Dolores;Hombres;93
03 Alicante/Alacant;03064 Dolores;Mujeres;79
03 Alicante/Alacant;03065 Elx/Elche;Ambos sexos;4.705
03 Alicante/Alacant;03065 Elx/Elche;Hombres;2.359
03 Alicante/Alacant;03065 Elx/Elche;Mujeres;2.346
03 Alicante/Alacant;03066 Elda;Ambos sexos;1.230
03 Alicante/Alacant;03066 Elda;Hombres;609
03 Alicante/Alacant;03066 Elda;Mujeres;621
03 Alicante/Alacant;03067 Fageca;Ambos sexos;5
03 Alicante/Alacant;03067 Fageca;Hombres;4
03 Alicante/Alacant;03067 Fageca;Mujeres;1
03 Alicante/Alacant;03068 Famorca;Ambos sexos;4
03 Alicante/Alacant;03068 Famorca;Hombres;3
03 Alicante/Alacant;03068 Famorca;Mujeres;1
